-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us       4.420ms       206.90%       4.420ms       4.420ms           0 B           0 B           0 B           0 B             1  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us       2.767ms       129.54%       2.767ms       2.767ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         9.02%       1.880ms        10.56%       2.202ms      88.088us     785.805us        36.79%     785.805us      31.432us           0 B           0 B      72.25 MB      72.25 MB            25  
                                            aten::addmm         8.27%       1.725ms         9.13%       1.903ms     146.393us     575.342us        26.93%     575.342us      44.257us           0 B           0 B      62.00 MB      62.00 MB            13  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     550.058us        25.75%     550.058us      45.838us           0 B           0 B           0 B           0 B            12  
                                                    H2D         0.00%       0.000us         0.00%       0.000us       0.000us     219.428us        10.27%     219.428us     219.428us           0 B           0 B           0 B           0 B             1  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     210.276us         9.84%     210.276us      35.046us           0 B           0 B           0 B           0 B             6  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     189.732us         8.88%     189.732us      37.946us           0 B           0 B           0 B           0 B             5  
                                            aten::copy_         0.40%      84.345us         0.59%     123.082us       4.244us     171.908us         8.05%     171.908us       5.928us           0 B           0 B           0 B           0 B            29  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us     170.403us         7.98%     170.403us      28.401us           0 B           0 B           0 B           0 B             6  
